ID; Nombre;Autor; Fecha; Categoría
1; El futuro de la IA; Juan Pérez; 2024-01-15; Tecnología
2; Perdidos en el tiempo; Sara González; 2024-02-07; Ciencia Ficción
3; Economía Moderna; David Fernández; 2024-03-12; Economía
4; Exploradores del Espacio Profundo; Emilia García; 2024-04-05; Ciencia Ficción
5; Inteligencia Artificial en la Medicina; Luisa Blanco; 2024-05-18; Medicina
6; La Última Frontera; Miguel Verde; 2024-06-21; Aventura
7; Vivir Sostenible; Amanda Martínez; 2024-07-14; Ecología
8; El Mundo Cuántico ;Cristóbal López ;2024-08-19 ;Física
9; Privacidad Digital y Tú; Rebeca Martín; 2024-09-10; Seguridad Informática
10; Realidad Virtual: Una Nueva Era; Antonio Rodríguez; 2024-10-25; Tecnología

